,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,53.959999,54.900002,53.75,54.869999,54.215672,2405700
1,2021-11-02,54.900002,55.25,54.419998,55.119999,54.462692,2743300
2,2021-11-03,54.849998,56.509998,54.77,56.060001,55.391483,4279700
3,2021-11-04,55.880001,55.990002,54.709999,55.700001,55.035774,2684000
4,2021-11-05,56.34,57.290001,56.080002,56.75,56.073254,3227300
5,2021-11-08,56.990002,57.279999,56.599998,56.75,56.073254,1948000
6,2021-11-09,56.439999,56.610001,56.0,56.279999,55.60886,1719100
7,2021-11-10,56.41,56.720001,55.799999,56.02,55.351959,2497800
8,2021-11-11,56.0,56.48,55.709999,56.330002,55.658264,3276600
9,2021-11-12,56.349998,57.080002,56.189999,57.009998,56.330154,2439300
10,2021-11-15,57.240002,57.759998,56.970001,57.57,56.883476,3433600
11,2021-11-16,57.669998,57.950001,57.200001,57.259998,56.903351,3321200
12,2021-11-17,57.0,57.290001,56.880001,56.919998,56.565468,2959000
13,2021-11-18,56.82,56.860001,55.560001,55.900002,55.551826,2793700
14,2021-11-19,55.5,55.919998,54.73,55.439999,55.094688,2646400
