,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,7.64,7.69,7.35,7.65,7.65,2730400
1,2021-11-02,7.68,7.85,7.67,7.69,7.69,2292500
2,2021-11-03,7.69,7.97,7.65,7.91,7.91,1504000
3,2021-11-04,7.91,8.0,7.71,7.8,7.8,869300
4,2021-11-05,7.9,8.1,7.83,7.88,7.88,3555700
5,2021-11-08,7.94,8.0,7.85,7.91,7.91,3907600
6,2021-11-09,7.95,8.03,7.9,8.03,8.03,1255500
7,2021-11-10,7.95,8.07,7.87,7.88,7.88,1251900
8,2021-11-11,7.92,8.05,7.83,8.03,8.03,1088100
9,2021-11-12,8.04,8.07,7.95,8.02,8.02,837600
10,2021-11-15,8.02,8.15,7.93,8.14,8.14,1179500
11,2021-11-16,8.13,8.16,7.95,8.01,8.01,1223100
12,2021-11-17,7.99,8.03,7.71,7.99,7.99,1393400
13,2021-11-18,8.0,8.08,7.94,7.99,7.99,844600
14,2021-11-19,7.92,7.99,7.76,7.8,7.8,1870000
