,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,53.02,54.740002,52.599998,54.709999,54.709999,1755200
1,2021-11-02,54.509998,54.619999,53.610001,54.450001,54.450001,1400700
2,2021-11-03,54.16,55.990002,53.959999,55.93,55.93,1690700
3,2021-11-04,56.169998,56.400002,55.259998,55.73,55.73,1215000
4,2021-11-05,58.549999,59.73,58.130001,59.349998,59.349998,2459000
5,2021-11-08,59.68,60.119999,58.639999,58.880001,58.880001,1935900
6,2021-11-09,58.82,59.200001,57.959999,58.830002,58.830002,1510300
7,2021-11-10,58.189999,58.82,57.259998,57.540001,57.540001,1321700
8,2021-11-11,57.52,57.720001,56.740002,56.810001,56.810001,807000
9,2021-11-12,56.82,57.130001,55.049999,55.650002,55.650002,2387300
10,2021-11-15,56.049999,56.400002,55.380001,55.669998,55.669998,1222800
11,2021-11-16,55.439999,55.549999,53.560001,53.889999,53.889999,2343900
12,2021-11-17,53.700001,54.060001,52.950001,53.540001,53.540001,1288700
13,2021-11-18,53.639999,53.75,52.040001,52.540001,52.540001,1805500
14,2021-11-19,51.900002,52.84,50.98,52.740002,52.740002,3461100
