,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,174.270004,175.779999,173.240005,175.729996,175.729996,1666700
1,2021-11-02,174.509995,175.0,172.289993,174.610001,174.610001,1757600
2,2021-11-03,174.320007,180.289993,173.389999,178.119995,178.119995,1590100
3,2021-11-04,179.5,180.809998,176.75,177.460007,177.460007,1726700
4,2021-11-05,179.660004,179.660004,174.039993,175.029999,175.029999,1557200
5,2021-11-08,171.580002,174.059998,171.5,173.229996,173.229996,2083100
6,2021-11-09,174.289993,175.389999,171.199997,172.470001,172.470001,1950100
7,2021-11-10,170.960007,173.619995,169.619995,171.419998,171.419998,1973700
8,2021-11-11,172.710007,172.860001,167.559998,169.009995,169.009995,1724400
9,2021-11-12,169.800003,171.619995,168.539993,170.5,170.5,2716300
10,2021-11-15,172.119995,174.059998,170.130005,172.130005,172.130005,1777800
11,2021-11-16,173.270004,175.570007,172.350006,174.630005,174.630005,1524500
12,2021-11-17,175.539993,177.070007,174.779999,176.509995,176.509995,1369100
13,2021-11-18,177.330002,179.399994,174.619995,176.259995,176.259995,1206000
14,2021-11-19,176.669998,177.669998,175.139999,176.059998,176.059998,1153100
