,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,45.419998,46.599998,45.419998,46.59,46.226051,1310900
1,2021-11-02,46.669998,47.330002,46.080002,47.049999,46.682461,3000300
2,2021-11-03,46.0,47.509998,45.0,47.009998,46.642769,3551800
3,2021-11-04,47.799999,48.400002,46.41,46.57,46.206207,2622700
4,2021-11-05,47.150002,47.650002,46.610001,46.900002,46.533634,2133300
5,2021-11-08,47.009998,47.439999,46.470001,46.77,46.404648,1870400
6,2021-11-09,46.77,47.189999,46.25,46.5,46.136757,1304100
7,2021-11-10,46.310001,47.68,46.220001,47.009998,46.642769,1539600
8,2021-11-11,47.209999,47.560001,46.970001,47.240002,46.870979,1530100
9,2021-11-12,47.540001,48.41,47.32,48.25,47.873085,1712700
10,2021-11-15,48.639999,48.720001,48.029999,48.549999,48.170742,1407000
11,2021-11-16,49.0,49.119999,48.380001,48.400002,48.021919,1837300
12,2021-11-17,48.389999,48.630001,47.419998,47.970001,47.595272,1472000
13,2021-11-18,48.09,48.23,46.66,46.790001,46.424492,3029800
14,2021-11-19,46.43,46.799999,45.57,45.860001,45.501755,3303700
