,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,186.789993,189.139999,186.789993,187.639999,187.161819,704900
1,2021-11-02,187.550003,189.550003,186.369995,189.210007,188.727829,882600
2,2021-11-03,189.380005,189.380005,182.020004,185.539993,185.067169,831100
3,2021-11-04,187.490005,189.050003,184.679993,185.0,184.528549,1136700
4,2021-11-05,185.809998,189.820007,185.220001,187.070007,186.593277,1357900
5,2021-11-08,187.779999,188.949997,184.600006,185.320007,184.847733,662200
6,2021-11-09,185.649994,188.009995,185.289993,187.020004,186.543396,744400
7,2021-11-10,185.759995,191.419998,185.759995,188.800003,188.318863,950500
8,2021-11-11,188.690002,190.860001,186.360001,188.320007,187.840088,511200
9,2021-11-12,189.630005,191.720001,188.179993,191.080002,190.593048,384900
10,2021-11-15,191.470001,192.75,190.309998,190.850006,190.363647,532400
11,2021-11-16,190.350006,195.610001,189.940002,194.979996,194.483109,914900
12,2021-11-17,195.139999,195.789993,194.240005,195.240005,194.742462,681700
13,2021-11-18,195.270004,195.710007,192.649994,195.229996,194.732468,596000
14,2021-11-19,195.389999,198.100006,194.850006,196.059998,195.560364,748300
