,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,39.919998,40.43,39.91,40.41,40.41,2086300
1,2021-11-02,40.41,40.5,39.900002,40.380001,40.380001,1737500
2,2021-11-03,40.380001,41.619999,40.369999,41.57,41.57,2731900
3,2021-11-04,41.549999,41.830002,40.82,40.959999,40.959999,2058800
4,2021-11-05,41.080002,41.27,40.66,40.73,40.73,1854500
5,2021-11-08,40.68,40.880001,40.43,40.810001,40.810001,1370600
6,2021-11-09,40.98,41.509998,40.860001,41.279999,41.279999,1786000
7,2021-11-10,41.34,41.669998,41.009998,41.41,41.41,1497000
8,2021-11-11,41.259998,41.310001,40.91,40.93,40.93,1613800
9,2021-11-12,41.099998,41.66,41.0,41.549999,41.549999,1786500
10,2021-11-15,41.700001,41.869999,41.209999,41.73,41.73,1818700
11,2021-11-16,41.849998,42.099998,41.360001,41.380001,41.380001,1338400
12,2021-11-17,41.32,41.650002,41.18,41.59,41.59,1293400
13,2021-11-18,41.43,41.43,40.560001,40.990002,40.990002,1772900
14,2021-11-19,41.16,41.380001,40.5,40.580002,40.580002,1911200
