,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,78.0,78.449997,77.690002,78.0,77.534042,1460600
1,2021-11-02,78.260002,78.699997,77.800003,78.620003,78.150337,2106900
2,2021-11-03,78.550003,80.0,77.720001,79.650002,79.174187,2841300
3,2021-11-04,79.730003,80.209999,79.169998,79.540001,79.064842,2257800
4,2021-11-05,80.0,80.940002,79.660004,79.910004,79.432632,1791900
5,2021-11-08,80.0,80.529999,79.730003,80.169998,79.691071,1393200
6,2021-11-09,80.120003,80.690002,79.75,80.510002,80.029045,1787200
7,2021-11-10,80.599998,81.5,80.529999,80.650002,80.168213,2253500
8,2021-11-11,80.879997,81.559998,80.580002,81.07,80.585701,2100000
9,2021-11-12,81.209999,82.529999,81.07,81.980003,81.490265,2131000
10,2021-11-15,82.290001,82.68,81.720001,81.949997,81.460442,2007700
11,2021-11-16,82.0,82.540001,81.540001,81.75,81.261642,2006200
12,2021-11-17,81.370003,81.720001,80.43,80.989998,80.50618,3018800
13,2021-11-18,81.5,81.629997,79.57,81.040001,80.795303,4304800
14,2021-11-19,81.290001,82.839996,80.650002,81.989998,81.742432,4154400
