,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,43.169998,43.43,42.849998,43.009998,42.768345,2651700
1,2021-11-02,43.049999,43.34,42.139999,42.84,42.5993,4306700
2,2021-11-03,42.619999,45.139999,42.619999,44.810001,44.558235,4392900
3,2021-11-04,45.5,47.650002,45.18,47.400002,47.133682,4465900
4,2021-11-05,47.68,48.57,47.299999,47.599998,47.332554,2724800
5,2021-11-08,47.91,48.18,46.41,46.540001,46.278515,4538200
6,2021-11-09,46.619999,48.119999,46.610001,47.849998,47.58115,2541700
7,2021-11-10,47.450001,48.18,47.299999,47.68,47.551235,2025300
8,2021-11-11,47.610001,48.299999,47.560001,47.689999,47.561207,1397400
9,2021-11-12,47.900002,48.77,47.834999,48.700001,48.568481,3811500
10,2021-11-15,49.064999,49.400002,48.09,48.369999,48.239368,1790700
11,2021-11-16,48.869999,49.099998,48.400002,48.43,48.29921,1645700
12,2021-11-17,48.23,48.73,48.049999,48.349998,48.219421,1533100
13,2021-11-18,48.580002,49.0,48.279999,48.669998,48.538559,2404900
14,2021-11-19,48.330002,48.490002,47.645,47.810001,47.680885,3253700
