,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,140.910004,143.410004,140.020004,141.770004,141.388565,2068300
1,2021-11-02,141.559998,141.75,138.740005,140.169998,139.792877,2514400
2,2021-11-03,137.699997,140.720001,136.419998,139.5,139.12468,3562300
3,2021-11-04,143.380005,146.720001,142.0,142.479996,142.096664,3496100
4,2021-11-05,144.190002,144.699997,138.610001,139.570007,139.194489,2757800
5,2021-11-08,139.990005,140.320007,137.639999,138.160004,137.788284,2538200
6,2021-11-09,139.350006,141.0,138.669998,139.789993,139.413895,1796000
7,2021-11-10,139.669998,141.960007,138.5,139.279999,138.905273,2058800
8,2021-11-11,140.149994,145.809998,139.75,144.449997,144.061356,3109500
9,2021-11-12,143.860001,146.589996,143.539993,145.440002,145.048706,1613600
10,2021-11-15,143.610001,144.389999,137.639999,141.279999,140.899887,3850900
11,2021-11-16,141.169998,143.360001,138.570007,139.559998,139.184509,2977500
12,2021-11-17,138.619995,140.699997,137.600006,138.139999,137.768341,2245900
13,2021-11-18,137.279999,137.820007,135.110001,137.330002,136.960526,4120500
14,2021-11-19,137.259995,137.419998,132.190002,132.389999,132.033813,3972400
