,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,63.75,64.25,63.529999,63.959999,63.402172,798500
1,2021-11-02,63.880001,63.93,63.139999,63.91,63.352612,1186800
2,2021-11-03,63.900002,64.669998,63.509998,63.82,63.263397,1257600
3,2021-11-04,63.82,64.269997,62.32,63.720001,63.164268,1535000
4,2021-11-05,63.91,64.959999,63.84,64.879997,64.314148,1049100
5,2021-11-08,64.879997,64.93,63.240002,63.720001,63.164268,787200
6,2021-11-09,63.740002,64.279999,63.740002,64.120003,63.560783,724800
7,2021-11-10,64.480003,64.970001,64.300003,64.690002,64.125809,747800
8,2021-11-11,64.639999,64.830002,63.93,64.610001,64.046509,1251000
9,2021-11-12,64.959999,65.330002,64.419998,64.5,63.937466,752100
10,2021-11-15,64.989998,65.639999,64.669998,65.599998,65.02787,842200
11,2021-11-16,65.68,66.0,65.239998,65.379997,64.809784,975100
12,2021-11-17,65.43,65.93,65.050003,65.699997,65.126999,1119700
13,2021-11-18,64.970001,65.230003,63.889999,65.07,65.07,2134900
14,2021-11-19,65.25,66.07,65.019997,65.610001,65.610001,3651100
