,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,25.290001,25.690001,25.290001,25.58,25.530807,10798600
1,2021-11-02,25.35,25.549999,25.209999,25.379999,25.331192,5936300
2,2021-11-03,24.83,25.299999,24.49,24.719999,24.672461,9905600
3,2021-11-04,25.290001,25.6,24.129999,24.52,24.472847,10025800
4,2021-11-05,24.969999,25.209999,24.620001,24.690001,24.642519,7420300
5,2021-11-08,24.809999,25.34,24.77,25.120001,25.071693,5664900
6,2021-11-09,25.0,25.17,24.379999,25.08,25.031769,7214200
7,2021-11-10,24.98,25.08,23.76,23.83,23.784172,10645400
8,2021-11-11,23.790001,24.049999,23.6,23.719999,23.674383,8241500
9,2021-11-12,23.58,23.74,23.25,23.57,23.524673,7195100
10,2021-11-15,23.450001,23.67,23.15,23.4,23.355,5997500
11,2021-11-16,23.52,23.940001,23.35,23.610001,23.564596,7794700
12,2021-11-17,23.200001,23.57,22.799999,22.969999,22.925825,8582700
13,2021-11-18,22.92,23.1,22.379999,22.76,22.71623,8167600
14,2021-11-19,22.209999,22.34,21.68,22.040001,21.997616,14475900
