,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,73.610001,73.989998,72.239998,73.139999,72.333748,1864100
1,2021-11-02,73.269997,73.68,72.739998,72.779999,71.977722,1375200
2,2021-11-03,72.68,74.639999,72.68,74.07,73.253502,1491700
3,2021-11-04,73.849998,73.849998,71.510002,71.940002,71.14698,1635200
4,2021-11-05,72.559998,72.910004,71.230003,71.830002,71.0382,1640000
5,2021-11-08,72.309998,72.32,70.699997,71.489998,70.701935,1461800
6,2021-11-09,71.18,72.279999,71.150002,72.169998,71.374443,1483300
7,2021-11-10,72.050003,72.940002,71.959999,72.489998,71.690918,1424300
8,2021-11-11,72.489998,73.480003,72.080002,73.18,72.373314,1145100
9,2021-11-12,73.0,73.389999,71.669998,71.75,70.959076,1515900
10,2021-11-15,72.099998,72.720001,71.620003,72.330002,71.532684,1122500
11,2021-11-16,72.68,72.970001,71.190002,71.269997,70.48436,1881200
12,2021-11-17,71.089996,71.800003,70.830002,71.110001,70.326134,1713300
13,2021-11-18,71.059998,71.389999,70.290001,70.5,69.722855,1735400
14,2021-11-19,69.790001,70.489998,69.400002,69.68,68.911896,2086500
