,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,16.809999,17.290001,16.700001,17.25,17.25,5399500
1,2021-11-02,17.209999,17.41,17.1,17.370001,17.370001,6612800
2,2021-11-03,17.34,17.98,17.26,17.799999,17.799999,6100300
3,2021-11-04,17.73,18.440001,17.58,17.92,17.92,8301400
4,2021-11-05,18.530001,19.02,18.27,18.370001,18.370001,8244100
5,2021-11-08,18.389999,18.66,18.280001,18.379999,18.379999,6596800
6,2021-11-09,18.299999,18.42,18.16,18.33,18.33,5268900
7,2021-11-10,18.25,18.370001,18.01,18.030001,18.030001,5180900
8,2021-11-11,18.030001,18.030001,17.65,17.809999,17.809999,4979800
9,2021-11-12,17.860001,18.01,17.76,17.870001,17.870001,10827600
10,2021-11-15,17.92,18.01,17.809999,17.92,17.92,8991100
11,2021-11-16,17.92,17.98,17.34,17.42,17.42,11601400
12,2021-11-17,17.309999,17.41,17.08,17.370001,17.370001,6895400
13,2021-11-18,17.469999,17.48,17.200001,17.309999,17.309999,5381000
14,2021-11-19,17.0,17.26,16.73,17.049999,17.049999,8944100
