,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,119.550667,120.755257,118.393883,120.726578,117.718811,6177153
1,2021-11-02,120.745697,121.577438,119.416824,120.630974,117.625587,4722062
2,2021-11-03,120.67878,121.692162,120.152962,121.5392,118.511185,5670784
3,2021-11-04,123.050003,123.339996,119.900002,120.849998,117.839157,7208700
4,2021-11-05,121.43,123.769997,121.43,123.610001,120.530403,6786500
5,2021-11-08,123.989998,124.779999,123.529999,124.540001,121.437225,5625300
6,2021-11-09,122.559998,122.900002,120.260002,120.849998,119.411621,7236600
7,2021-11-10,121.0,122.43,119.93,120.220001,118.789124,6270300
8,2021-11-11,120.900002,121.790001,120.080002,120.269997,118.838524,4643300
9,2021-11-12,120.0,120.639999,118.779999,118.959999,117.544121,5414800
10,2021-11-15,119.540001,120.160004,118.309998,118.870003,117.455193,5046300
11,2021-11-16,118.919998,119.900002,118.419998,118.459999,117.050072,4750800
12,2021-11-17,118.379997,119.330002,117.779999,118.059998,116.654831,4043300
13,2021-11-18,118.360001,118.360001,116.309998,116.660004,115.2715,5046900
14,2021-11-19,116.489998,116.559998,115.269997,116.050003,114.668755,5380200
