,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,40.139999,40.5,39.790001,40.450001,40.249043,5251500
1,2021-11-02,40.75,41.32,40.16,40.700001,40.497803,5786400
2,2021-11-03,41.279999,42.959999,41.209999,42.950001,42.736622,10831900
3,2021-11-04,42.700001,43.490002,42.400002,43.419998,43.204285,7479600
4,2021-11-05,43.459999,43.57,41.98,42.32,42.109753,6137100
5,2021-11-08,42.209999,42.450001,41.380001,41.700001,41.492832,4899800
6,2021-11-09,41.810001,42.27,41.630001,41.93,41.721691,3441200
7,2021-11-10,41.900002,42.5,41.630001,42.470001,42.259007,3977900
8,2021-11-11,42.419998,42.75,42.080002,42.27,42.060001,4817100
9,2021-11-12,42.099998,42.720001,41.900002,42.43,42.43,3676300
10,2021-11-15,42.43,42.900002,42.209999,42.66,42.66,4050700
11,2021-11-16,42.259998,42.34,41.5,41.689999,41.689999,6231100
12,2021-11-17,41.630001,41.669998,40.59,40.650002,40.650002,10087200
13,2021-11-18,40.779999,41.529999,40.650002,41.400002,41.400002,4352100
14,2021-11-19,41.509998,41.889999,40.75,40.889999,40.889999,7030800
