,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,160.399994,162.149994,159.289993,161.830002,161.830002,2177900
1,2021-11-02,160.949997,161.919998,158.330002,160.059998,160.059998,2615800
2,2021-11-03,160.759995,166.820007,157.070007,164.529999,164.529999,3158400
3,2021-11-04,166.020004,166.020004,162.710007,164.089996,164.089996,1863800
4,2021-11-05,169.399994,171.679993,166.229996,167.610001,167.610001,2955400
5,2021-11-08,170.330002,170.839996,167.330002,168.389999,168.389999,2476600
6,2021-11-09,168.050003,168.050003,162.389999,164.770004,164.770004,1774500
7,2021-11-10,163.479996,164.5,159.589996,160.990005,160.990005,1554800
8,2021-11-11,160.619995,161.0,156.619995,156.869995,156.869995,1664900
9,2021-11-12,157.5,158.949997,155.529999,156.479996,156.479996,1911100
10,2021-11-15,157.039993,157.789993,154.880005,155.679993,155.679993,1378600
11,2021-11-16,155.130005,155.580002,152.809998,153.990005,153.990005,2137700
12,2021-11-17,153.270004,156.910004,152.330002,156.720001,156.720001,1965600
13,2021-11-18,156.770004,157.740005,154.839996,155.729996,155.729996,1126800
14,2021-11-19,153.979996,156.089996,150.259995,154.919998,154.919998,1879800
