,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,41.25,42.02,40.610001,41.459999,41.279003,6646300
1,2021-11-02,39.799999,40.07,36.599998,37.639999,37.475681,14583100
2,2021-11-03,37.700001,39.779999,37.099998,39.48,39.307648,6415600
3,2021-11-04,39.360001,39.889999,38.419998,38.799999,38.630619,4556800
4,2021-11-05,37.0,37.43,36.57,37.349998,37.186947,22077300
5,2021-11-08,37.490002,38.41,37.470001,37.720001,37.555332,14272600
6,2021-11-09,37.869999,38.25,36.849998,37.509998,37.346249,8329900
7,2021-11-10,37.400002,37.830002,35.779999,36.080002,35.922497,6902100
8,2021-11-11,36.59,37.349998,36.400002,36.810001,36.649307,5026300
9,2021-11-12,36.799999,37.630001,36.599998,37.389999,37.226772,4230400
10,2021-11-15,37.450001,38.459999,37.080002,37.889999,37.72459,4978600
11,2021-11-16,38.0,38.09,36.919998,37.099998,36.938038,7513200
12,2021-11-17,37.299999,37.59,36.34,36.389999,36.23114,5625300
13,2021-11-18,36.740002,37.099998,36.279999,36.82,36.65926,3744000
14,2021-11-19,36.48,36.59,35.860001,36.25,36.091751,5966700
