,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,88.050003,88.629997,87.290001,87.839996,87.014481,10943900
1,2021-11-02,88.230003,90.419998,87.480003,89.019997,88.183388,14671400
2,2021-11-03,88.769997,89.419998,88.209999,88.68,87.846588,10883900
3,2021-11-04,90.370003,91.400002,89.269997,90.540001,89.68911,19519800
4,2021-11-05,82.290001,84.0,81.349998,81.610001,80.843033,37607800
5,2021-11-08,80.410004,82.879997,79.879997,82.68,81.902977,18655700
6,2021-11-09,83.620003,83.709999,81.910004,82.720001,81.942596,10512000
7,2021-11-10,83.309998,84.019997,82.699997,84.010002,83.220474,9855900
8,2021-11-11,83.919998,84.260002,83.529999,84.019997,83.230377,5761500
9,2021-11-12,83.839996,84.199997,83.050003,84.0,83.210571,8203900
10,2021-11-15,84.150002,84.18,83.400002,83.690002,82.903488,7108200
11,2021-11-16,83.669998,84.690002,83.25,84.110001,83.319534,10565200
12,2021-11-17,84.370003,84.669998,82.589996,82.599998,81.823723,10286300
13,2021-11-18,82.300003,83.139999,82.019997,83.050003,82.269501,9833600
14,2021-11-19,82.370003,82.75,80.620003,80.699997,79.941582,17581100
