,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,14.2,14.75,14.2,14.38,14.318705,4670800
1,2021-11-02,14.22,14.47,14.13,14.45,14.388406,2466600
2,2021-11-03,14.23,14.73,14.19,14.56,14.497937,3756600
3,2021-11-04,14.86,15.39,14.33,14.71,14.647298,5827200
4,2021-11-05,15.0,15.16,14.65,14.66,14.59751,2501200
5,2021-11-08,14.81,15.13,14.68,14.89,14.82653,3729000
6,2021-11-09,14.89,14.96,14.42,14.95,14.886274,2834600
7,2021-11-10,14.85,14.96,14.13,14.15,14.089684,2546400
8,2021-11-11,14.12,14.26,13.93,13.98,13.920409,2776000
9,2021-11-12,13.88,13.99,13.69,13.76,13.701347,2799700
10,2021-11-15,13.7,13.7,13.36,13.38,13.322967,5364000
11,2021-11-16,13.42,13.76,13.31,13.51,13.452413,4779700
12,2021-11-17,13.23,13.35,12.74,12.82,12.765353,4365700
13,2021-11-18,12.95,12.97,12.37,12.57,12.516419,5107200
14,2021-11-19,12.2,12.31,11.86,12.03,11.978721,7777700
