,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,64.0,64.389999,63.5,64.139999,64.139999,1637700
1,2021-11-02,64.0,64.550003,63.630001,64.07,64.07,3198000
2,2021-11-03,63.900002,65.660004,63.279999,63.919998,63.919998,3246500
3,2021-11-04,64.709999,64.970001,62.630001,63.439999,63.439999,2554100
4,2021-11-05,64.290001,64.75,63.889999,64.720001,64.720001,1851200
5,2021-11-08,65.290001,65.5,64.599998,64.879997,64.879997,2158100
6,2021-11-09,64.870003,64.879997,63.75,64.669998,64.669998,2397500
7,2021-11-10,64.32,64.839996,62.040001,62.860001,62.860001,2670400
8,2021-11-11,62.75,63.529999,62.619999,63.349998,63.349998,2068400
9,2021-11-12,62.91,63.349998,62.5,63.09,63.09,1718700
10,2021-11-15,63.099998,63.610001,62.27,63.360001,63.360001,2334500
11,2021-11-16,63.599998,63.810001,62.57,63.16,63.16,2006000
12,2021-11-17,62.799999,64.07,62.740002,63.5,63.5,2088400
13,2021-11-18,63.5,64.0,62.619999,63.549999,63.549999,1785300
14,2021-11-19,62.450001,62.889999,61.209999,61.380001,61.380001,2983700
