,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,212.970001,213.509995,209.75,210.639999,210.639999,1247400
1,2021-11-02,209.889999,210.550003,208.899994,210.100006,210.100006,1627000
2,2021-11-03,209.179993,213.580002,208.729996,212.699997,212.699997,1439300
3,2021-11-04,211.860001,211.860001,206.0,207.710007,207.710007,1440800
4,2021-11-05,209.520004,211.149994,205.720001,207.100006,207.100006,1157700
5,2021-11-08,208.229996,209.149994,206.630005,208.169998,208.169998,943100
6,2021-11-09,206.130005,207.970001,205.210007,207.039993,207.039993,1129500
7,2021-11-10,207.559998,208.259995,205.149994,205.410004,205.410004,1513600
8,2021-11-11,205.550003,206.820007,205.029999,205.600006,205.600006,1063600
9,2021-11-12,205.429993,205.630005,202.199997,203.610001,203.610001,1490700
10,2021-11-15,204.589996,205.220001,203.229996,204.820007,204.820007,1433700
11,2021-11-16,204.990005,206.520004,203.779999,205.529999,205.529999,1210000
12,2021-11-17,205.089996,205.389999,201.440002,202.460007,202.460007,1213800
13,2021-11-18,202.300003,204.080002,200.580002,200.910004,200.910004,1283100
14,2021-11-19,198.899994,199.789993,195.779999,199.360001,199.360001,1858100
